date,location_id,product_category,received_qty,sold_qty,waste_qty
2026-07-17,L02,Category A,54,45,1
2026-07-17,L02,Category B,58,39,5
2026-07-17,L02,Category C,70,43,3
2026-07-17,L02,Category D,74,57,5
2026-07-17,L03,Category A,46,27,3
2026-07-17,L03,Category B,70,38,6
2026-07-17,L03,Category C,74,54,6
2026-07-17,L03,Category D,53,29,3
2026-07-18,L01,Category A,53,28,5
2026-07-18,L01,Category B,86,75,3
2026-07-18,L01,Category C,80,62,6
2026-07-18,L01,Category D,54,40,1
2026-07-18,L02,Category A,68,49,4
2026-07-18,L02,Category B,60,36,2
2026-07-18,L02,Category C,48,43,4
2026-07-18,L02,Category D,93,88,0
2026-07-18,L03,Category A,80,56,6
2026-07-18,L03,Category B,71,36,5
2026-07-18,L03,Category C,50,28,1
2026-07-18,L03,Category D,88,69,0
2026-07-19,L01,Category A,94,83,1
2026-07-19,L01,Category B,69,46,0
2026-07-19,L01,Category C,53,41,5
2026-07-19,L01,Category D,47,33,3
2026-07-19,L02,Category A,91,88,2
2026-07-19,L02,Category B,92,62,3
2026-07-19,L02,Category C,84,54,1
2026-07-19,L02,Category D,71,46,2
2026-07-19,L03,Category A,49,40,2
2026-07-19,L03,Category B,90,55,6
2026-07-19,L03,Category C,71,36,5
2026-07-19,L03,Category D,69,38,0
2026-07-20,L01,Category A,57,42,1
2026-07-20,L01,Category B,94,76,1
2026-07-20,L01,Category C,50,44,1
2026-07-20,L01,Category D,85,54,2
2026-07-20,L02,Category A,81,53,6
2026-07-20,L02,Category B,81,48,2
2026-07-20,L02,Category C,86,85,1
2026-07-20,L02,Category D,53,28,6
2026-07-20,L03,Category A,82,53,1
2026-07-20,L03,Category B,78,40,2
2026-07-20,L03,Category C,78,64,5
2026-07-20,L03,Category D,51,29,1
2026-07-21,L01,Category A,72,66,2
2026-07-21,L01,Category B,66,43,3
2026-07-21,L01,Category C,85,52,5
2026-07-21,L01,Category D,75,52,2
2026-07-21,L02,Category A,59,50,0
2026-07-21,L02,Category B,86,78,1
2026-07-21,L02,Category C,77,66,2
2026-07-21,L02,Category D,65,35,6
2026-07-21,L03,Category A,55,41,3
2026-07-21,L03,Category B,48,32,2
2026-07-21,L03,Category C,47,39,4
2026-07-21,L03,Category D,83,73,0
2026-07-22,L01,Category A,75,40,6
2026-07-22,L01,Category B,57,36,4
2026-07-22,L01,Category C,87,64,1
2026-07-22,L01,Category D,56,45,5
2026-07-22,L02,Category A,61,42,4
2026-07-22,L02,Category B,46,30,3
2026-07-22,L02,Category C,61,45,3
2026-07-22,L02,Category D,77,39,1
2026-07-22,L03,Category A,81,62,2
2026-07-22,L03,Category B,87,44,3
2026-07-22,L03,Category C,69,52,2
2026-07-22,L03,Category D,82,77,2
2026-07-23,L01,Category A,59,35,2
2026-07-23,L01,Category B,76,58,5
2026-07-23,L01,Category C,58,36,3
2026-07-23,L01,Category D,76,62,6
2026-07-23,L02,Category A,54,33,3
2026-07-23,L02,Category B,83,41,6
2026-07-23,L02,Category C,82,45,1
2026-07-23,L02,Category D,73,42,1
2026-07-23,L03,Category A,55,41,5
2026-07-23,L03,Category B,59,49,1
2026-07-23,L03,Category C,53,28,6
2026-07-23,L03,Category D,68,62,2
2026-07-24,L01,Category A,66,54,6
2026-07-24,L01,Category B,60,31,3
2026-07-24,L01,Category C,92,84,1
2026-07-24,L01,Category D,70,40,3
2026-07-24,L02,Category A,79,69,2
2026-07-24,L02,Category B,86,68,0
2026-07-24,L02,Category C,94,63,6
2026-07-24,L02,Category D,58,49,4
2026-07-24,L03,Category A,83,43,4
2026-07-24,L03,Category B,80,52,1
2026-07-24,L03,Category C,88,51,5
2026-07-24,L03,Category D,60,42,5
2026-07-25,L01,Category A,57,44,2
2026-07-25,L01,Category B,88,53,3
2026-07-25,L01,Category C,61,52,0
2026-07-25,L01,Category D,91,50,6
2026-07-25,L02,Category A,63,58,2
2026-07-25,L02,Category B,68,45,5
2026-07-25,L02,Category C,49,41,2
2026-07-25,L02,Category D,95,70,0
2026-07-25,L03,Category A,54,41,2
2026-07-25,L03,Category B,59,53,3
2026-07-25,L03,Category C,83,70,2
2026-07-25,L03,Category D,55,28,4
2026-07-26,L01,Category A,51,36,5
2026-07-26,L01,Category B,95,91,3
2026-07-26,L01,Category C,74,38,0
2026-07-26,L01,Category D,90,69,6
2026-07-26,L02,Category A,48,30,5
2026-07-26,L02,Category B,64,43,4
2026-07-26,L02,Category C,68,42,5
2026-07-26,L02,Category D,84,51,4
2026-07-26,L03,Category A,50,29,4
2026-07-26,L03,Category B,89,47,4
2026-07-26,L03,Category C,77,55,6
2026-07-26,L03,Category D,89,50,3
2026-07-27,L01,Category A,62,35,6
2026-07-27,L01,Category B,46,35,5
2026-07-27,L01,Category C,85,50,4
2026-07-27,L01,Category D,84,58,2
2026-07-27,L02,Category A,77,57,6
2026-07-27,L02,Category B,56,49,5
2026-07-27,L02,Category C,57,44,0
2026-07-27,L02,Category D,60,33,6
2026-07-27,L03,Category A,93,48,1
2026-07-27,L03,Category B,73,64,2
2026-07-27,L03,Category C,53,37,5
2026-07-27,L03,Category D,59,37,4
2026-07-28,L01,Category A,46,33,5
2026-07-28,L01,Category B,55,30,2
2026-07-28,L01,Category C,56,44,6
2026-07-28,L01,Category D,54,34,0
2026-07-28,L02,Category A,63,48,3
2026-07-28,L02,Category B,77,41,0
2026-07-28,L02,Category C,60,50,3
2026-07-28,L02,Category D,66,54,3
2026-07-28,L03,Category A,77,51,0
2026-07-28,L03,Category B,93,50,3
2026-07-28,L03,Category C,85,83,0
2026-07-28,L03,Category D,84,55,5
2026-07-29,L01,Category A,62,56,5
2026-07-29,L01,Category B,80,40,6
2026-07-29,L01,Category C,94,68,3
2026-07-29,L01,Category D,77,69,6
2026-07-29,L02,Category A,69,40,2
2026-07-29,L02,Category B,79,71,1
2026-07-29,L02,Category C,64,42,6
2026-07-29,L02,Category D,80,47,3
2026-07-29,L03,Category A,53,31,5
2026-07-29,L03,Category B,75,44,4
2026-07-29,L03,Category C,51,25,0
2026-07-29,L03,Category D,59,51,5
2026-07-30,L01,Category A,91,86,5
2026-07-30,L01,Category B,62,31,1
2026-07-30,L01,Category C,79,39,4
2026-07-30,L01,Category D,48,29,1
2026-07-30,L02,Category A,68,59,1
2026-07-30,L02,Category B,58,51,5
2026-07-30,L02,Category C,80,58,0
2026-07-30,L02,Category D,51,42,6
2026-07-30,L03,Category A,57,51,6
2026-07-30,L03,Category B,83,80,1
2026-07-30,L03,Category C,77,65,2
2026-07-30,L03,Category D,87,84,3
2026-07-31,L01,Category A,74,47,0
2026-07-31,L01,Category B,70,64,4
2026-07-31,L01,Category C,84,63,0
2026-07-31,L01,Category D,77,60,5
2026-07-31,L02,Category A,74,49,5
2026-07-31,L02,Category B,83,77,6
2026-07-31,L02,Category C,93,58,0
2026-07-31,L02,Category D,79,68,5
2026-07-31,L03,Category A,48,35,0
2026-07-31,L03,Category B,54,42,5
2026-07-31,L03,Category C,65,53,2
2026-07-31,L03,Category D,70,58,4
2026-08-01,L01,Category A,48,26,6
2026-08-01,L01,Category B,75,69,0
2026-08-01,L01,Category C,88,70,3
2026-08-01,L01,Category D,94,68,2
2026-08-01,L02,Category A,78,50,0
2026-08-01,L02,Category B,90,76,3
2026-08-01,L02,Category C,60,50,4
2026-08-01,L02,Category D,70,41,0
2026-08-01,L03,Category A,62,56,4
2026-08-01,L03,Category B,64,55,3
2026-08-01,L03,Category C,55,35,4
2026-08-01,L03,Category D,56,33,1
2026-08-02,L01,Category A,79,70,4
2026-08-02,L01,Category B,86,72,4
2026-08-02,L01,Category C,59,32,2
2026-08-02,L01,Category D,67,46,4
2026-08-02,L02,Category A,85,66,0
2026-08-02,L02,Category B,60,54,6
2026-08-02,L02,Category C,78,54,4
2026-08-02,L02,Category D,63,63,0
2026-08-02,L03,Category A,67,51,3
2026-08-02,L03,Category B,72,48,5
2026-08-02,L03,Category C,55,32,0
2026-08-02,L03,Category D,95,76,6
2026-08-03,L01,Category A,84,66,2
2026-08-03,L01,Category B,53,45,1
2026-08-03,L01,Category C,70,37,3
2026-08-03,L01,Category D,53,30,4
2026-08-03,L02,Category A,65,64,1
2026-08-03,L02,Category B,60,44,3
2026-08-03,L02,Category C,61,52,2
2026-08-03,L02,Category D,64,35,2
2026-08-03,L03,Category A,68,57,1
2026-08-03,L03,Category B,68,60,0
2026-08-03,L03,Category C,85,48,1
2026-08-03,L03,Category D,64,33,3
2026-08-04,L01,Category A,77,53,6
2026-08-04,L01,Category B,95,77,6
2026-08-04,L01,Category C,58,35,6
2026-08-04,L01,Category D,45,30,4
2026-08-04,L02,Category A,66,42,4
2026-08-04,L02,Category B,91,76,0
2026-08-04,L02,Category C,84,72,6
2026-08-04,L02,Category D,45,24,5
2026-08-04,L03,Category A,87,83,3
2026-08-04,L03,Category B,76,48,6
2026-08-04,L03,Category C,51,33,4
2026-08-04,L03,Category D,94,81,3
2026-08-05,L01,Category A,91,85,5
2026-08-05,L01,Category B,58,30,4
2026-08-05,L01,Category C,78,72,1
2026-08-05,L01,Category D,83,56,6
2026-08-05,L02,Category A,89,71,4
2026-08-05,L02,Category B,86,80,4
2026-08-05,L02,Category C,67,57,6
2026-08-05,L02,Category D,45,39,0
2026-08-05,L03,Category A,89,85,2
2026-08-05,L03,Category B,63,32,5
2026-08-05,L03,Category C,75,41,4
2026-08-05,L03,Category D,72,58,3
2026-08-06,L01,Category A,86,60,1
2026-08-06,L01,Category B,78,69,6
2026-08-06,L01,Category C,75,63,2
2026-08-06,L01,Category D,48,34,3
2026-08-06,L02,Category A,57,50,4
2026-08-06,L02,Category B,95,88,2
2026-08-06,L02,Category C,75,70,1
2026-08-06,L02,Category D,64,45,3
2026-08-06,L03,Category A,94,87,6
2026-08-06,L03,Category B,54,53,0
2026-08-06,L03,Category C,68,58,4
2026-08-06,L03,Category D,46,28,5
2026-08-07,L01,Category A,88,72,6
2026-08-07,L01,Category B,49,30,5
2026-08-07,L01,Category C,81,70,4
2026-08-07,L01,Category D,67,54,0
2026-08-07,L02,Category A,52,35,4
2026-08-07,L02,Category B,52,30,4
2026-08-07,L02,Category C,72,61,6
2026-08-07,L02,Category D,52,41,1
2026-08-07,L03,Category A,60,47,6
2026-08-07,L03,Category B,65,40,6
2026-08-07,L03,Category C,53,34,1
2026-08-07,L03,Category D,47,24,2
2026-08-08,L01,Category A,50,44,0
2026-08-08,L01,Category B,65,33,4
2026-08-08,L01,Category C,77,43,1
2026-08-08,L01,Category D,66,33,1
2026-08-08,L02,Category A,50,28,0
2026-08-08,L02,Category B,95,79,5
2026-08-08,L02,Category C,79,54,0
2026-08-08,L02,Category D,51,39,5
2026-08-08,L03,Category A,76,71,3
2026-08-08,L03,Category B,47,44,2
2026-08-08,L03,Category C,80,58,5
2026-08-08,L03,Category D,79,46,4
2026-08-09,L01,Category A,76,49,1
2026-08-09,L01,Category B,86,76,4
2026-08-09,L01,Category C,76,45,3
2026-08-09,L01,Category D,55,29,6
2026-08-09,L02,Category A,75,42,3
2026-08-09,L02,Category B,76,60,2
2026-08-09,L02,Category C,71,54,5
2026-08-09,L02,Category D,95,58,6
2026-08-09,L03,Category A,70,58,1
2026-08-09,L03,Category B,62,48,3
2026-08-09,L03,Category C,88,72,2
2026-08-09,L03,Category D,53,46,5
2026-08-10,L01,Category A,51,35,6
2026-08-10,L01,Category B,57,40,5
2026-08-10,L01,Category C,79,66,5
2026-08-10,L01,Category D,46,43,3
2026-08-10,L02,Category A,69,42,1
2026-08-10,L02,Category B,55,50,3
2026-08-10,L02,Category C,72,48,2
2026-08-10,L02,Category D,56,55,1
2026-08-10,L03,Category A,80,62,4
2026-08-10,L03,Category B,59,29,4
2026-08-10,L03,Category C,55,46,5
2026-08-10,L03,Category D,68,63,1
2026-08-11,L01,Category A,67,50,6
2026-08-11,L01,Category B,60,38,1
2026-08-11,L01,Category C,64,53,3
2026-08-11,L01,Category D,54,38,1
2026-08-11,L02,Category A,63,52,6
2026-08-11,L02,Category B,59,52,0
2026-08-11,L02,Category C,91,77,4
2026-08-11,L02,Category D,50,27,4
2026-08-11,L03,Category A,68,44,5
2026-08-11,L03,Category B,92,74,0
2026-08-11,L03,Category C,94,67,6
2026-08-11,L03,Category D,93,78,2
2026-08-12,L01,Category A,64,32,0
2026-08-12,L01,Category B,79,58,5
2026-08-12,L01,Category C,76,52,1
2026-08-12,L01,Category D,68,51,2
2026-08-12,L02,Category A,84,42,3
2026-08-12,L02,Category B,86,52,2
2026-08-12,L02,Category C,94,62,3
2026-08-12,L02,Category D,88,44,5
2026-08-12,L03,Category A,60,40,1
2026-08-12,L03,Category B,46,36,0
2026-08-12,L03,Category C,86,45,6
2026-08-12,L03,Category D,56,34,5
2026-08-13,L01,Category A,88,48,2
2026-08-13,L01,Category B,56,47,5
2026-08-13,L01,Category C,58,33,3
2026-08-13,L01,Category D,82,48,2
2026-08-13,L02,Category A,75,65,1
2026-08-13,L02,Category B,82,72,3
2026-08-13,L02,Category C,92,66,3
2026-08-13,L02,Category D,88,83,0
2026-08-13,L03,Category A,92,65,3
2026-08-13,L03,Category B,89,46,2
2026-08-13,L03,Category C,49,26,5
2026-08-13,L03,Category D,78,76,0
2026-08-14,L01,Category A,51,40,1
2026-08-14,L01,Category B,50,30,4
2026-08-14,L01,Category C,76,54,0
2026-08-14,L01,Category D,75,42,6
2026-08-14,L02,Category A,61,46,2
2026-08-14,L02,Category B,92,84,3
2026-08-14,L02,Category C,64,46,6
2026-08-14,L02,Category D,82,44,4
2026-08-14,L03,Category A,49,41,2
2026-08-14,L03,Category B,89,85,1
2026-08-14,L03,Category C,53,34,6
2026-08-14,L03,Category D,71,41,1
2026-08-15,L01,Category A,61,37,3
2026-08-15,L01,Category B,83,71,4
2026-08-15,L01,Category C,78,50,5
2026-08-15,L01,Category D,51,32,0
2026-08-15,L02,Category A,78,75,0
2026-08-15,L02,Category B,93,56,5
2026-08-15,L02,Category C,93,46,3
2026-08-15,L02,Category D,73,36,5
2026-08-15,L03,Category A,71,65,4
2026-08-15,L03,Category B,91,78,3
2026-08-15,L03,Category C,61,48,3
2026-08-15,L03,Category D,59,33,1
2026-08-16,L01,Category A,51,31,1
2026-08-16,L01,Category B,48,35,3
2026-08-16,L01,Category C,76,40,2
2026-08-16,L01,Category D,73,39,0
2026-08-16,L02,Category A,92,48,6
2026-08-16,L02,Category B,93,79,4
2026-08-16,L02,Category C,71,42,4
2026-08-16,L02,Category D,48,34,4
2026-08-16,L03,Category A,68,47,5
2026-08-16,L03,Category B,81,68,3
2026-08-16,L03,Category C,84,72,5
2026-08-16,L03,Category D,54,48,6
2026-08-17,L01,Category A,52,50,1
2026-08-17,L01,Category B,64,34,5
2026-08-17,L01,Category C,79,53,1
2026-08-17,L01,Category D,84,66,2
2026-08-17,L02,Category A,86,72,5
2026-08-17,L02,Category B,94,47,2
2026-08-17,L02,Category C,54,47,2
2026-08-17,L02,Category D,73,39,5
2026-08-17,L03,Category A,51,26,4
2026-08-17,L03,Category B,64,36,3
2026-08-17,L03,Category C,95,67,5
2026-08-17,L03,Category D,88,56,3
2026-08-18,L01,Category A,77,42,5
2026-08-18,L01,Category B,50,48,2
2026-08-18,L01,Category C,57,34,6
2026-08-18,L01,Category D,94,67,2
2026-08-18,L02,Category A,94,77,4
2026-08-18,L02,Category B,80,70,3
2026-08-18,L02,Category C,78,49,0
2026-08-18,L02,Category D,58,33,0
2026-08-18,L03,Category A,84,79,1
2026-08-18,L03,Category B,62,42,0
2026-08-18,L03,Category C,92,60,4
2026-08-18,L03,Category D,65,38,3
2026-08-19,L01,Category A,53,37,6
2026-08-19,L01,Category B,95,54,5
2026-08-19,L01,Category C,82,44,2
2026-08-19,L01,Category D,58,45,6
2026-08-19,L02,Category A,62,42,6
2026-08-19,L02,Category B,86,54,1
2026-08-19,L02,Category C,76,48,1
2026-08-19,L02,Category D,72,41,0
2026-08-19,L03,Category A,91,66,4
2026-08-19,L03,Category B,77,46,1
2026-08-19,L03,Category C,50,42,1
2026-08-19,L03,Category D,71,50,2
2026-08-20,L01,Category A,83,60,4
2026-08-20,L01,Category B,60,47,1
2026-08-20,L01,Category C,49,25,5
2026-08-20,L01,Category D,51,27,3
2026-08-20,L02,Category A,70,63,5
2026-08-20,L02,Category B,66,50,4
2026-08-20,L02,Category C,56,34,2
2026-08-20,L02,Category D,61,56,4
2026-08-20,L03,Category A,45,31,6
2026-08-20,L03,Category B,56,34,5
2026-08-20,L03,Category C,65,39,1
2026-08-20,L03,Category D,54,46,4
2026-08-21,L01,Category A,80,51,3
2026-08-21,L01,Category B,47,29,3
2026-08-21,L01,Category C,78,47,2
2026-08-21,L01,Category D,56,31,4
2026-08-21,L02,Category A,86,44,3
2026-08-21,L02,Category B,54,50,0
2026-08-21,L02,Category C,74,47,4
2026-08-21,L02,Category D,85,79,0
2026-08-21,L03,Category A,79,41,6
2026-08-21,L03,Category B,86,52,3
2026-08-21,L03,Category C,46,24,4
2026-08-21,L03,Category D,94,90,2
2026-08-22,L01,Category A,69,40,5
2026-08-22,L01,Category B,66,59,6
2026-08-22,L01,Category C,83,68,4
2026-08-22,L01,Category D,73,62,5
2026-08-22,L02,Category A,90,46,3
2026-08-22,L02,Category B,61,53,1
2026-08-22,L02,Category C,87,50,3
2026-08-22,L02,Category D,63,38,2
2026-08-22,L03,Category A,60,31,1
2026-08-22,L03,Category B,57,37,0
2026-08-22,L03,Category C,89,45,5
2026-08-22,L03,Category D,64,43,6
2026-08-23,L01,Category A,49,47,2
2026-08-23,L01,Category B,85,66,1
2026-08-23,L01,Category C,95,59,1
2026-08-23,L01,Category D,58,44,3
2026-08-23,L02,Category A,64,32,6
2026-08-23,L02,Category B,54,53,0
2026-08-23,L02,Category C,60,54,2
2026-08-23,L02,Category D,91,55,5
2026-08-23,L03,Category A,63,37,6
2026-08-23,L03,Category B,89,70,4
2026-08-23,L03,Category C,82,52,0
2026-08-23,L03,Category D,48,35,4
2026-08-24,L01,Category A,95,61,1
2026-08-24,L01,Category B,56,52,1
2026-08-24,L01,Category C,77,48,2
2026-08-24,L01,Category D,87,64,5
2026-08-24,L02,Category A,63,35,6
2026-08-24,L02,Category B,63,57,1
2026-08-24,L02,Category C,65,33,2
2026-08-24,L02,Category D,55,49,5
2026-08-24,L03,Category A,80,56,6
2026-08-24,L03,Category B,67,45,4
2026-08-24,L03,Category C,77,59,6
2026-08-24,L03,Category D,68,46,2
2026-08-25,L01,Category A,74,46,6
2026-08-25,L01,Category B,52,28,4
2026-08-25,L01,Category C,47,25,2
2026-08-25,L01,Category D,51,35,2
2026-08-25,L02,Category A,81,43,2
2026-08-25,L02,Category B,89,78,6
2026-08-25,L02,Category C,51,35,1
2026-08-25,L02,Category D,85,62,6
2026-08-25,L03,Category A,81,69,5
2026-08-25,L03,Category B,55,38,6
2026-08-25,L03,Category C,47,36,5
2026-08-25,L03,Category D,82,78,3
